LOG FORMAT | segmentation_LOSS mIoU Acc | depth_LOSS AbsErr RelErr | TIME
Epoch: 0000 | TRAIN: 0.5258 0.4474 0.8464 | 0.1385 0.1385 3.0848 | Time: 91.6781 | VAL: 0.3431 0.5312 0.8979 | 0.0523 0.0523 1.8348 | Time: 3.3514 | TEST: 0.5558 0.4810 0.8293 | 0.0915 0.0917 213.4686 | Time: 4.5925
Epoch: 0001 | TRAIN: 0.2978 0.5443 0.9064 | 0.0385 0.0385 0.7410 | Time: 143.4154 | VAL: 0.2943 0.5523 0.9100 | 0.0391 0.0391 1.3626 | Time: 3.1711 | TEST: 0.6305 0.4740 0.8064 | 0.1244 0.1247 278.2734 | Time: 4.2554
Epoch: 0002 | TRAIN: 0.2556 0.5687 0.9167 | 0.0313 0.0313 0.5475 | Time: 139.9188 | VAL: 0.2538 0.5799 0.9183 | 0.0243 0.0243 0.3154 | Time: 3.1983 | TEST: 0.7031 0.4595 0.7612 | 0.1335 0.1337 294.5573 | Time: 4.2706
Epoch: 0003 | TRAIN: 0.2305 0.5884 0.9228 | 0.0282 0.0282 0.4447 | Time: 141.6029 | VAL: 0.2455 0.5828 0.9179 | 0.0241 0.0241 0.2564 | Time: 3.1199 | TEST: 0.5306 0.5107 0.8253 | 0.1173 0.1175 285.6978 | Time: 4.2481
Epoch: 0004 | TRAIN: 0.2165 0.5982 0.9261 | 0.0259 0.0259 0.4011 | Time: 140.1078 | VAL: 0.2284 0.6017 0.9235 | 0.0216 0.0216 0.2845 | Time: 3.2705 | TEST: 0.6336 0.4877 0.7860 | 0.1415 0.1418 296.2701 | Time: 4.2875
Epoch: 0005 | TRAIN: 0.2049 0.6146 0.9290 | 0.0237 0.0237 0.3539 | Time: 140.5744 | VAL: 0.2231 0.6165 0.9237 | 0.0230 0.0230 0.4859 | Time: 3.2358 | TEST: 0.5696 0.5286 0.8099 | 0.1298 0.1300 291.4941 | Time: 4.2753
Epoch: 0006 | TRAIN: 0.1957 0.6359 0.9318 | 0.0235 0.0235 0.3465 | Time: 142.5705 | VAL: 0.2184 0.6200 0.9253 | 0.0306 0.0306 0.7927 | Time: 3.2813 | TEST: 0.5441 0.5375 0.8187 | 0.1507 0.1510 321.8886 | Time: 4.2851
Epoch: 0007 | TRAIN: 0.1863 0.6479 0.9345 | 0.0225 0.0225 0.3368 | Time: 142.0565 | VAL: 0.2070 0.6281 0.9282 | 0.0207 0.0207 0.2375 | Time: 3.2291 | TEST: 0.5554 0.5352 0.8157 | 0.1556 0.1558 327.5045 | Time: 4.2925
Epoch: 0008 | TRAIN: 0.1798 0.6562 0.9361 | 0.0211 0.0211 0.3065 | Time: 141.0185 | VAL: 0.2076 0.6334 0.9285 | 0.0198 0.0198 0.2948 | Time: 3.2907 | TEST: 0.5666 0.5330 0.8129 | 0.1464 0.1467 306.3696 | Time: 4.2755
Epoch: 0009 | TRAIN: 0.1747 0.6628 0.9377 | 0.0203 0.0203 0.2893 | Time: 142.2120 | VAL: 0.2014 0.6310 0.9299 | 0.0193 0.0193 0.2242 | Time: 3.5313 | TEST: 0.4777 0.5587 0.8468 | 0.1450 0.1452 311.5952 | Time: 4.2604
Epoch: 0010 | TRAIN: 0.1710 0.6676 0.9386 | 0.0209 0.0209 0.2837 | Time: 140.8511 | VAL: 0.2088 0.6291 0.9279 | 0.0246 0.0246 0.3877 | Time: 3.5388 | TEST: 0.6159 0.5278 0.7975 | 0.1487 0.1490 326.9763 | Time: 4.2817
